TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed
1646401165110;1;1;1.0;1;customer;396;13171423;31.7 MiB/s;
1646401165110;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646401165110;1;1;1.0;1;store_returns;56;619692;10.6 MiB/s;
1646401165110;1;1;1.0;1;store_sales;1608;18768280;11.1 MiB/s;
1646401165110;1;1;1.0;1;web_returns;45;487016;10.3 MiB/s;
1646401165110;1;1;1.0;1;web_sales;681;9141103;12.8 MiB/s;
1646401704429;1;1;1.0;1;ALL;4016;51313320;12.2 MiB/s;
1646401704429;1;1;1.0;1;customer;391;13171423;32.1 MiB/s;
1646401704429;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646401704429;1;1;1.0;1;store_returns;57;619692;10.4 MiB/s;
1646401704429;1;1;1.0;1;store_sales;1593;18768280;11.2 MiB/s;
1646401704429;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646401704429;1;1;1.0;1;web_sales;1808;17340676;9.1 MiB/s;
1646402365266;1;1;1.0;1;ALL;4187;52118438;11.9 MiB/s;
1646402365266;1;1;1.0;1;customer;417;13171423;30.1 MiB/s;
1646402365266;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646402365266;1;1;1.0;1;store_returns;59;619692;10.0 MiB/s;
1646402365266;1;1;1.0;1;store_sales;1636;18768280;10.9 MiB/s;
1646402365266;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646402365266;1;1;1.0;1;web_sales;1877;17340676;8.8 MiB/s;
1646402654718;1;1;1.0;1;ALL;4271;54186935;12.1 MiB/s;
1646402654718;1;1;1.0;1;customer;421;13171423;29.8 MiB/s;
1646402654718;1;1;1.0;1;item;122;1730874;13.5 MiB/s;
1646402654718;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646402654718;1;1;1.0;1;store_returns;60;619692;9.8 MiB/s;
1646402654718;1;1;1.0;1;store_sales;1657;18768280;10.8 MiB/s;
1646402654718;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646402654718;1;1;1.0;1;web_sales;1778;17340676;9.3 MiB/s;
1646402960130;1;1;1.0;1;ALL;4465;56607648;12.1 MiB/s;
1646402960130;1;1;1.0;1;customer;402;13171423;31.2 MiB/s;
1646402960130;1;1;1.0;1;item;122;1730827;13.5 MiB/s;
1646402960130;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646402960130;1;1;1.0;1;store_returns;58;619692;10.2 MiB/s;
1646402960130;1;1;1.0;1;store_sales;1593;18768280;11.2 MiB/s;
1646402960130;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646402960130;1;1;1.0;1;web_sales;1737;17340676;9.5 MiB/s;
1646403077142;1;1;1.0;1;ALL;4509;111256345;23.5 MiB/s;
1646403077142;1;1;1.0;1;customer;390;13171423;32.2 MiB/s;
1646403077142;1;1;1.0;1;item;250;43732140;166.8 MiB/s;
1646403077142;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646403077142;1;1;1.0;1;store_returns;72;619692;8.2 MiB/s;
1646403077142;1;1;1.0;1;store_sales;1608;18768280;11.1 MiB/s;
1646403077142;1;1;1.0;1;web_returns;50;487016;9.3 MiB/s;
1646403077142;1;1;1.0;1;web_sales;1747;17340676;9.5 MiB/s;
1646403404354;1;1;1.0;1;ALL;4763;114759607;23.0 MiB/s;
1646403404354;1;1;1.0;1;customer;402;13171423;31.2 MiB/s;
1646403404354;1;1;1.0;1;item;257;43732140;162.3 MiB/s;
1646403404354;1;1;1.0;1;product_reviews;364;17136624;44.9 MiB/s;
1646403404354;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646403404354;1;1;1.0;1;store_returns;59;619692;10.0 MiB/s;
1646403404354;1;1;1.0;1;store_sales;1647;18768280;10.9 MiB/s;
1646403404354;1;1;1.0;1;web_returns;47;487016;9.9 MiB/s;
1646403404354;1;1;1.0;1;web_sales;1733;17340676;9.5 MiB/s;
1646403561176;1;1;1.0;1;ALL;4842;115526618;22.8 MiB/s;
1646403561176;1;1;1.0;1;customer;427;13171423;29.4 MiB/s;
1646403561176;1;1;1.0;1;item;257;43732140;162.3 MiB/s;
1646403561176;1;1;1.0;1;product_reviews;366;17136624;44.7 MiB/s;
1646403561176;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646403561176;1;1;1.0;1;store_returns;59;619692;10.0 MiB/s;
1646403561176;1;1;1.0;1;store_sales;1649;18768280;10.9 MiB/s;
1646403561176;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646403561176;1;1;1.0;1;web_sales;1771;17340676;9.3 MiB/s;
1646403627532;1;1;1.0;1;ALL;4645;113992596;23.4 MiB/s;
1646403627532;1;1;1.0;1;customer;396;13171423;31.7 MiB/s;
1646403627532;1;1;1.0;1;item;253;43732140;164.8 MiB/s;
1646403627532;1;1;1.0;1;product_reviews;361;17136624;45.3 MiB/s;
1646403627532;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646403627532;1;1;1.0;1;store_returns;58;619692;10.2 MiB/s;
1646403627532;1;1;1.0;1;store_sales;1587;18768280;11.3 MiB/s;
1646403627532;1;1;1.0;1;web_returns;41;487016;11.3 MiB/s;
1646403627532;1;1;1.0;1;web_sales;1744;17340676;9.5 MiB/s;
1646403717023;1;1;1.0;1;ALL;4771;114321315;22.9 MiB/s;
1646403717023;1;1;1.0;1;customer;395;13171423;31.8 MiB/s;
1646403717023;1;1;1.0;1;item;251;43732140;166.2 MiB/s;
1646403717023;1;1;1.0;1;product_reviews;370;17136624;44.2 MiB/s;
1646403717023;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646403717023;1;1;1.0;1;store_returns;59;619692;10.0 MiB/s;
1646403717023;1;1;1.0;1;store_sales;1648;18768280;10.9 MiB/s;
1646403717023;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646403717023;1;1;1.0;1;web_sales;1783;17340676;9.3 MiB/s;
1646403778797;1;1;1.0;1;ALL;4723;114321315;23.1 MiB/s;
1646403778797;1;1;1.0;1;customer;391;13171423;32.1 MiB/s;
1646403778797;1;1;1.0;1;item;251;43732140;166.2 MiB/s;
1646403778797;1;1;1.0;1;product_reviews;365;17136624;44.8 MiB/s;
1646403778797;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646403778797;1;1;1.0;1;store_returns;70;619692;8.4 MiB/s;
1646403778797;1;1;1.0;1;store_sales;1600;18768280;11.2 MiB/s;
1646403778797;1;1;1.0;1;web_returns;50;487016;9.3 MiB/s;
1646403778797;1;1;1.0;1;web_sales;1758;17340676;9.4 MiB/s;
1646405490857;1;1;1.0;1;ALL;4886;121824836;23.8 MiB/s;
1646405490857;1;1;1.0;1;customer;483;20127079;39.7 MiB/s;
1646405490857;1;1;1.0;1;item;226;43732140;184.5 MiB/s;
1646405490857;1;1;1.0;1;product_reviews;361;17136624;45.3 MiB/s;
1646405490857;1;1;1.0;1;store;53;494;9.1 KiB/s;
1646405490857;1;1;1.0;1;store_returns;57;619692;10.4 MiB/s;
1646405490857;1;1;1.0;1;store_sales;1606;18768280;11.1 MiB/s;
1646405490857;1;1;1.0;1;web_returns;44;487016;10.6 MiB/s;
1646405490857;1;1;1.0;1;web_sales;1829;17340676;9.0 MiB/s;
1646405544043;1;1;5.0;1;ALL;17949;394421569;21.0 MiB/s;
1646405544043;1;1;5.0;1;customer;991;45261758;43.6 MiB/s;
1646405544043;1;1;5.0;1;item;531;98011328;176.0 MiB/s;
1646405544043;1;1;5.0;1;product_reviews;796;39117962;46.9 MiB/s;
1646405544043;1;1;5.0;1;store;80;1140;13.9 KiB/s;
1646405544043;1;1;5.0;1;store_returns;166;3426506;19.7 MiB/s;
1646405544043;1;1;5.0;1;store_sales;6688;104639718;14.9 MiB/s;
1646405544043;1;1;5.0;1;web_returns;201;2691348;12.8 MiB/s;
1646405544043;1;1;5.0;1;web_sales;8300;97658974;11.2 MiB/s;
1646406551103;1;1;15.0;1;ALL;55571;1076215750;18.5 MiB/s;
1646406551103;1;1;15.0;1;customer;1710;78565432;43.8 MiB/s;
1646406551103;1;1;15.0;1;item;889;169700615;182.0 MiB/s;
1646406551103;1;1;15.0;1;product_reviews;1278;69639878;52.0 MiB/s;
1646406551103;1;1;15.0;1;store;83;1976;23.2 KiB/s;
1646406551103;1;1;15.0;1;store_returns;627;17097256;26.0 MiB/s;
1646406551103;1;1;15.0;1;store_sales;21864;375365916;16.4 MiB/s;
1646406551103;1;1;15.0;1;web_returns;535;9546622;17.0 MiB/s;
1646406551103;1;1;15.0;1;web_sales;28392;352685220;11.8 MiB/s;
1646475876265;1;1;1.0;1;ALL;4687;122076722;24.8 MiB/s;
1646475876265;1;1;1.0;1;customer;483;20127079;39.7 MiB/s;
1646475876265;1;1;1.0;1;item;219;43732140;190.4 MiB/s;
1646475876265;1;1;1.0;1;product_reviews;361;17136624;45.3 MiB/s;
1646475876265;1;1;1.0;1;store;10;494;48.2 KiB/s;
1646475876265;1;1;1.0;1;store_returns;64;871578;13.0 MiB/s;
1646475876265;1;1;1.0;1;store_sales;1585;18768280;11.3 MiB/s;
1646475876265;1;1;1.0;1;web_returns;50;487016;9.3 MiB/s;
1646475876265;1;1;1.0;1;web_sales;1674;17340676;9.9 MiB/s;
1646475908453;1;1;1.0;1;ALL;3037;103215649;32.4 MiB/s;
1646475908453;1;1;1.0;1;websales_home_myshop_fact_table_10t;3001;103215649;32.8 MiB/s;
1646476671495;1;1;1.0;1;ALL;4831;122076722;24.1 MiB/s;
1646476671495;1;1;1.0;1;customer;484;20127079;39.7 MiB/s;
1646476671495;1;1;1.0;1;item;238;43732140;175.2 MiB/s;
1646476671495;1;1;1.0;1;product_reviews;366;17136624;44.7 MiB/s;
1646476671495;1;1;1.0;1;store;16;494;30.2 KiB/s;
1646476671495;1;1;1.0;1;store_returns;57;871578;14.6 MiB/s;
1646476671495;1;1;1.0;1;store_sales;1620;18768280;11.0 MiB/s;
1646476671495;1;1;1.0;1;web_returns;47;487016;9.9 MiB/s;
1646476671495;1;1;1.0;1;web_sales;1765;17340676;9.4 MiB/s;
1646476920344;1;1;1.0;1;ALL;4764;122076722;24.4 MiB/s;
1646476920344;1;1;1.0;1;customer;484;20127079;39.7 MiB/s;
1646476920344;1;1;1.0;1;item;237;43732140;176.0 MiB/s;
1646476920344;1;1;1.0;1;product_reviews;361;17136624;45.3 MiB/s;
1646476920344;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646476920344;1;1;1.0;1;store_returns;70;871578;11.9 MiB/s;
1646476920344;1;1;1.0;1;store_sales;1598;18768280;11.2 MiB/s;
1646476920344;1;1;1.0;1;web_returns;49;487016;9.5 MiB/s;
1646476920344;1;1;1.0;1;web_sales;1716;17340676;9.6 MiB/s;
1646476960685;1;1;1.0;1;ALL;4746;122076722;24.5 MiB/s;
1646476960685;1;1;1.0;1;customer;481;20127079;39.9 MiB/s;
1646476960685;1;1;1.0;1;item;226;43732140;184.5 MiB/s;
1646476960685;1;1;1.0;1;product_reviews;363;17136624;45.0 MiB/s;
1646476960685;1;1;1.0;1;store;10;494;48.2 KiB/s;
1646476960685;1;1;1.0;1;store_returns;52;871578;16.0 MiB/s;
1646476960685;1;1;1.0;1;store_sales;1636;18768280;10.9 MiB/s;
1646476960685;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646476960685;1;1;1.0;1;web_sales;1692;17340676;9.8 MiB/s;
1646477225780;1;1;1.0;1;ALL;4827;122593207;24.2 MiB/s;
1646477225780;1;1;1.0;1;customer;491;20227079;39.3 MiB/s;
1646477225780;1;1;1.0;1;item;241;43750140;173.1 MiB/s;
1646477225780;1;1;1.0;1;product_reviews;363;17227524;45.3 MiB/s;
1646477225780;1;1;1.0;1;store;15;506;32.9 KiB/s;
1646477225780;1;1;1.0;1;store_returns;55;880578;15.3 MiB/s;
1646477225780;1;1;1.0;1;store_sales;1590;18858280;11.3 MiB/s;
1646477225780;1;1;1.0;1;web_returns;43;496016;11.0 MiB/s;
1646477225780;1;1;1.0;1;web_sales;1800;17430676;9.2 MiB/s;
1646477268759;1;1;1.0;1;ALL;4909;122076722;23.7 MiB/s;
1646477268759;1;1;1.0;1;customer;509;20127079;37.7 MiB/s;
1646477268759;1;1;1.0;1;item;228;43732140;182.9 MiB/s;
1646477268759;1;1;1.0;1;product_reviews;364;17136624;44.9 MiB/s;
1646477268759;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646477268759;1;1;1.0;1;store_returns;57;871578;14.6 MiB/s;
1646477268759;1;1;1.0;1;store_sales;1631;18768280;11.0 MiB/s;
1646477268759;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646477268759;1;1;1.0;1;web_sales;1818;17340676;9.1 MiB/s;
1646477358656;1;1;1.0;1;ALL;5444;184364274;32.3 MiB/s;
1646477358656;1;1;1.0;1;customer;591;30977190;50.0 MiB/s;
1646477358656;1;1;1.0;1;item;293;36912228;120.1 MiB/s;
1646477358656;1;1;1.0;1;product_reviews;532;34282338;61.5 MiB/s;
1646477358656;1;1;1.0;1;store;15;990;64.5 KiB/s;
1646477358656;1;1;1.0;1;store_returns;63;1744056;26.4 MiB/s;
1646477358656;1;1;1.0;1;store_sales;1744;37545560;20.5 MiB/s;
1646477358656;1;1;1.0;1;web_returns;46;974932;20.2 MiB/s;
1646477358656;1;1;1.0;1;web_sales;1900;34690352;17.4 MiB/s;
1646477528899;1;1;1.0;1;ALL;4866;122076722;23.9 MiB/s;
1646477528899;1;1;1.0;1;customer;503;20127079;38.2 MiB/s;
1646477528899;1;1;1.0;1;item;237;43732140;176.0 MiB/s;
1646477528899;1;1;1.0;1;product_reviews;364;17136624;44.9 MiB/s;
1646477528899;1;1;1.0;1;store;18;494;26.8 KiB/s;
1646477528899;1;1;1.0;1;store_returns;71;871578;11.7 MiB/s;
1646477528899;1;1;1.0;1;store_sales;1647;18768280;10.9 MiB/s;
1646477528899;1;1;1.0;1;web_returns;51;487016;9.1 MiB/s;
1646477528899;1;1;1.0;1;web_sales;1747;17340676;9.5 MiB/s;
1646477843352;1;1;1.0;1;ALL;4729;122076722;24.6 MiB/s;
1646477843352;1;1;1.0;1;customer;476;20127079;40.3 MiB/s;
1646477843352;1;1;1.0;1;item;227;43732140;183.7 MiB/s;
1646477843352;1;1;1.0;1;product_reviews;364;17136624;44.9 MiB/s;
1646477843352;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646477843352;1;1;1.0;1;store_returns;56;871578;14.8 MiB/s;
1646477843352;1;1;1.0;1;store_sales;1594;18768280;11.2 MiB/s;
1646477843352;1;1;1.0;1;web_returns;41;487016;11.3 MiB/s;
1646477843352;1;1;1.0;1;web_sales;1718;17340676;9.6 MiB/s;
1646477980932;1;1;1.0;1;ALL;103;1032829;9.6 MiB/s;
1646478618522;1;1;1.0;1;ALL;4757;122069417;24.5 MiB/s;
1646478618522;1;1;1.0;1;customer;482;20119774;39.8 MiB/s;
1646478618522;1;1;1.0;1;item;226;43732140;184.5 MiB/s;
1646478618522;1;1;1.0;1;product_reviews;363;17136624;45.0 MiB/s;
1646478618522;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646478618522;1;1;1.0;1;store_returns;56;871578;14.8 MiB/s;
1646478618522;1;1;1.0;1;store_sales;1603;18768280;11.2 MiB/s;
1646478618522;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646478618522;1;1;1.0;1;web_sales;1716;17340676;9.6 MiB/s;
1646482124842;1;1;1.0;1;ALL;4897;122069417;23.8 MiB/s;
1646482124842;1;1;1.0;1;customer;500;20119774;38.4 MiB/s;
1646482124842;1;1;1.0;1;item;231;43732140;180.5 MiB/s;
1646482124842;1;1;1.0;1;product_reviews;363;17136624;45.0 MiB/s;
1646482124842;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646482124842;1;1;1.0;1;store_returns;57;871578;14.6 MiB/s;
1646482124842;1;1;1.0;1;store_sales;1614;18768280;11.1 MiB/s;
1646482124842;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646482124842;1;1;1.0;1;web_sales;1832;17340676;9.0 MiB/s;
1646482174259;1;1;1.0;1;ALL;4737;92154851;18.6 MiB/s;
1646482174259;1;1;1.0;1;customer;466;15482134;31.7 MiB/s;
1646482174259;1;1;1.0;1;item;140;18455214;125.7 MiB/s;
1646482174259;1;1;1.0;1;product_reviews;367;17136624;44.5 MiB/s;
1646482174259;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646482174259;1;1;1.0;1;store_returns;55;871578;15.1 MiB/s;
1646482174259;1;1;1.0;1;store_sales;1606;18768280;11.1 MiB/s;
1646482174259;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646482174259;1;1;1.0;1;web_sales;1820;17340676;9.1 MiB/s;
1646560662710;1;1;1.0;1;ALL;4706;122069417;24.7 MiB/s;
1646560662710;1;1;1.0;1;customer;478;20119774;40.1 MiB/s;
1646560662710;1;1;1.0;1;item;233;43732140;179.0 MiB/s;
1646560662710;1;1;1.0;1;product_reviews;358;17136624;45.7 MiB/s;
1646560662710;1;1;1.0;1;store;12;494;40.2 KiB/s;
1646560662710;1;1;1.0;1;store_returns;54;871578;15.4 MiB/s;
1646560662710;1;1;1.0;1;store_sales;1591;18768280;11.3 MiB/s;
1646560662710;1;1;1.0;1;web_returns;44;487016;10.6 MiB/s;
1646560662710;1;1;1.0;1;web_sales;1711;17340676;9.7 MiB/s;
1646561893317;1;1;1.0;1;ALL;4683;92154851;18.8 MiB/s;
1646561893317;1;1;1.0;1;customer;471;15482134;31.3 MiB/s;
1646561893317;1;1;1.0;1;item;137;18455214;128.5 MiB/s;
1646561893317;1;1;1.0;1;product_reviews;369;17136624;44.3 MiB/s;
1646561893317;1;1;1.0;1;store;12;494;40.2 KiB/s;
1646561893317;1;1;1.0;1;store_returns;68;871578;12.2 MiB/s;
1646561893317;1;1;1.0;1;store_sales;1600;18768280;11.2 MiB/s;
1646561893317;1;1;1.0;1;web_returns;49;487016;9.5 MiB/s;
1646561893317;1;1;1.0;1;web_sales;1738;17340676;9.5 MiB/s;
1646795135869;1;1;1.0;1;ALL;4785;122069417;24.3 MiB/s;
1646795135869;1;1;1.0;1;customer;482;20119774;39.8 MiB/s;
1646795135869;1;1;1.0;1;item;225;43732140;185.4 MiB/s;
1646795135869;1;1;1.0;1;product_reviews;363;17136624;45.0 MiB/s;
1646795135869;1;1;1.0;1;store;9;494;53.6 KiB/s;
1646795135869;1;1;1.0;1;store_returns;52;871578;16.0 MiB/s;
1646795135869;1;1;1.0;1;store_sales;1594;18768280;11.2 MiB/s;
1646795135869;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646795135869;1;1;1.0;1;web_sales;1789;17340676;9.2 MiB/s;
